RESPAGE,LIFESAT,INFOSOU1,TRUMTVINFO,FATEINLF,BUSINRUS,BUSINTUR,BUSINGA,NEIGHBOR,USSRDISS,EUSUPP,EEUSUPNA,EEUNSUW,EEUSUPW,MAINFRN,MAINENEM,MAINMOD,PARTYSUPP,PARTYSUPF,WORKTYP,PERSINC,EDUYRS,RFAEDUC,RMOEDUC,RELGNEW,RELIMP,ECONSTN,MONYTOT
34.0,5.0,8.0,307.0,8.0,1.0,0.0,0.0,5.0,-1.0,5.0,5.0,-7.0,3.0,1.0,5.0,-1.0,-2.0,-2.0,1.0,-2.0,12.0,5.0,7.0,3.0,3.0,2.0,-2.0
22.0,5.0,5.0,-4.0,5.0,1.0,1.0,0.0,5.0,1.0,5.0,1.0,-1.0,-7.0,-1.0,5.0,-1.0,-5.0,-5.0,-7.0,9.0,12.0,-1.0,4.0,3.0,4.0,2.0,6.0
27.0,5.0,8.0,401.0,10.0,1.0,1.0,0.0,5.0,-1.0,5.0,-1.0,-7.0,-7.0,1.0,5.0,6.0,-5.0,-5.0,1.0,5.0,12.0,7.0,4.0,3.0,3.0,3.0,5.0
30.0,3.0,5.0,307.0,10.0,0.0,0.0,1.0,8.0,-1.0,3.0,1.0,9.0,-7.0,-5.0,5.0,1.0,302.0,-7.0,-7.0,9.0,12.0,5.0,5.0,3.0,3.0,1.0,9.0
29.0,10.0,4.0,-5.0,5.0,1.0,1.0,0.0,6.0,1.0,3.0,3.0,-7.0,-7.0,11.0,5.0,6.0,-5.0,-5.0,-7.0,9.0,9.0,4.0,4.0,3.0,3.0,4.0,5.0
31.0,10.0,8.0,-1.0,7.0,1.0,1.0,1.0,8.0,1.0,4.0,1.0,6.0,-7.0,3.0,4.0,6.0,-5.0,-5.0,1.0,6.0,12.0,5.0,4.0,3.0,3.0,3.0,5.0
30.0,3.0,8.0,-4.0,1.0,1.0,1.0,0.0,6.0,2.0,4.0,3.0,-7.0,-7.0,-5.0,5.0,1.0,301.0,-7.0,-7.0,7.0,12.0,5.0,5.0,3.0,4.0,3.0,5.0
29.0,7.0,5.0,307.0,9.0,0.0,1.0,1.0,8.0,1.0,5.0,-1.0,-7.0,-7.0,-1.0,-2.0,-2.0,-5.0,-5.0,6.0,6.0,18.0,5.0,5.0,3.0,4.0,1.0,6.0
31.0,8.0,4.0,-5.0,9.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,2.0,-7.0,1.0,5.0,11.0,-5.0,-5.0,1.0,5.0,13.0,5.0,5.0,3.0,2.0,3.0,5.0
31.0,8.0,8.0,301.0,8.0,1.0,0.0,0.0,5.0,-1.0,5.0,1.0,2.0,-7.0,1.0,5.0,6.0,-2.0,-2.0,-7.0,9.0,11.0,4.0,4.0,3.0,3.0,3.0,5.0
31.0,7.0,5.0,307.0,9.0,1.0,1.0,1.0,5.0,1.0,3.0,-1.0,-7.0,-7.0,1.0,5.0,11.0,301.0,-7.0,-7.0,9.0,15.0,5.0,4.0,3.0,3.0,3.0,5.0
31.0,8.0,4.0,-5.0,8.0,0.0,0.0,1.0,4.0,1.0,4.0,1.0,1.0,-7.0,-5.0,5.0,11.0,-5.0,-5.0,2.0,3.0,16.0,7.0,7.0,3.0,3.0,5.0,3.0
30.0,8.0,7.0,305.0,3.0,1.0,1.0,1.0,8.0,2.0,5.0,3.0,-7.0,-7.0,5.0,-5.0,6.0,302.0,-7.0,2.0,4.0,16.0,5.0,4.0,3.0,3.0,4.0,4.0
26.0,6.0,5.0,307.0,7.0,0.0,0.0,0.0,8.0,-1.0,3.0,3.0,-7.0,-7.0,-1.0,5.0,1.0,301.0,-7.0,3.0,7.0,14.0,4.0,5.0,3.0,4.0,4.0,5.0
28.0,5.0,5.0,301.0,5.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,2.0,-7.0,-1.0,5.0,-1.0,-5.0,-5.0,1.0,6.0,12.0,4.0,5.0,3.0,3.0,3.0,5.0
35.0,8.0,8.0,306.0,6.0,1.0,1.0,0.0,5.0,-1.0,-1.0,-1.0,-7.0,-7.0,-1.0,-1.0,-1.0,-5.0,-5.0,-7.0,9.0,6.0,4.0,3.0,6.0,4.0,3.0,6.0
34.0,5.0,8.0,307.0,9.0,1.0,1.0,0.0,8.0,-1.0,3.0,3.0,-7.0,-7.0,1.0,5.0,-1.0,-2.0,-2.0,4.0,6.0,15.0,5.0,4.0,3.0,3.0,1.0,6.0
26.0,7.0,8.0,307.0,10.0,1.0,1.0,0.0,8.0,1.0,4.0,1.0,-1.0,-7.0,1.0,5.0,1.0,-5.0,-5.0,1.0,8.0,16.0,7.0,5.0,3.0,4.0,2.0,3.0
30.0,6.0,4.0,-2.0,9.0,1.0,1.0,0.0,6.0,1.0,5.0,2.0,1.0,-7.0,-5.0,5.0,6.0,301.0,-7.0,2.0,-2.0,14.0,5.0,4.0,-2.0,-7.0,3.0,-2.0
34.0,8.0,5.0,-5.0,7.0,0.0,0.0,0.0,8.0,1.0,3.0,2.0,2.0,-7.0,1.0,5.0,9.0,301.0,-7.0,-7.0,6.0,14.0,3.0,4.0,3.0,3.0,1.0,6.0
18.0,10.0,4.0,-5.0,3.0,1.0,1.0,0.0,6.0,1.0,5.0,-1.0,-7.0,-7.0,2.0,5.0,1.0,301.0,-7.0,-7.0,6.0,13.0,7.0,7.0,3.0,3.0,3.0,4.0
30.0,-1.0,8.0,302.0,-1.0,1.0,1.0,0.0,-5.0,-1.0,5.0,1.0,2.0,-7.0,1.0,5.0,1.0,302.0,-7.0,-7.0,-2.0,14.0,7.0,4.0,3.0,3.0,1.0,7.0
26.0,6.0,4.0,-4.0,-1.0,1.0,-1.0,0.0,6.0,1.0,3.0,-1.0,-7.0,-7.0,-5.0,-1.0,6.0,-2.0,-2.0,1.0,6.0,10.0,4.0,4.0,3.0,3.0,3.0,-2.0
29.0,7.0,5.0,-5.0,5.0,1.0,1.0,1.0,5.0,1.0,4.0,3.0,-7.0,-7.0,2.0,5.0,1.0,301.0,-7.0,4.0,5.0,16.0,7.0,7.0,3.0,3.0,4.0,3.0
29.0,9.0,5.0,301.0,10.0,1.0,1.0,1.0,8.0,1.0,5.0,1.0,2.0,-7.0,1.0,5.0,6.0,301.0,-7.0,4.0,4.0,19.0,7.0,7.0,3.0,4.0,4.0,3.0
35.0,8.0,8.0,-4.0,8.0,1.0,1.0,0.0,6.0,1.0,3.0,1.0,2.0,-7.0,-5.0,5.0,9.0,302.0,-7.0,-7.0,6.0,14.0,5.0,5.0,4.0,4.0,3.0,6.0
25.0,8.0,8.0,305.0,4.0,1.0,1.0,0.0,6.0,-1.0,4.0,3.0,-7.0,-7.0,2.0,5.0,4.0,-5.0,-5.0,-7.0,8.0,9.0,4.0,4.0,6.0,3.0,3.0,5.0
29.0,5.0,8.0,301.0,5.0,0.0,0.0,0.0,5.0,-1.0,4.0,-1.0,-7.0,-7.0,-5.0,-5.0,-5.0,301.0,-7.0,-7.0,6.0,11.0,4.0,4.0,6.0,4.0,2.0,-1.0
33.0,8.0,5.0,302.0,3.0,0.0,0.0,0.0,6.0,1.0,5.0,1.0,1.0,-7.0,-5.0,5.0,-1.0,-5.0,-5.0,-7.0,9.0,16.0,7.0,4.0,3.0,3.0,3.0,4.0
28.0,10.0,5.0,-4.0,10.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,-7.0,4.0,5.0,1.0,308.0,-7.0,3.0,4.0,22.0,7.0,7.0,3.0,3.0,4.0,4.0
